case_id,fir_number,district,station,date,crime_type,entry_method,weapon,target_type,time_band,status,hidden_serial_cluster_GROUND_TRUTH
C-5001,FIR/2025/381,Ballari,Gandhinagar PS,2025-05-03,Chain Snatching,No forced entry - distraction,None - snatch and run,Pedestrian - gold chain,Evening (6-9PM),Unsolved,SERIAL-1
C-5002,FIR/2025/340,Belagavi City,Camp PS,2025-05-27,Chain Snatching,No forced entry - distraction,None - snatch and run,Pedestrian - gold chain,Evening (6-9PM),Unsolved,SERIAL-1
C-5003,FIR/2025/653,Mangaluru City,Kadri PS,2025-06-13,Chain Snatching,No forced entry - distraction,None - snatch and run,Pedestrian - gold chain,Evening (6-9PM),Unsolved,SERIAL-1
C-5004,FIR/2025/336,Bengaluru City,Indiranagar PS,2025-03-19,Chain Snatching,No forced entry - distraction,None - snatch and run,Pedestrian - gold chain,Evening (6-9PM),Unsolved,SERIAL-1
C-5005,FIR/2025/165,Belagavi City,Camp PS,2025-04-20,Chain Snatching,No forced entry - distraction,None - snatch and run,Pedestrian - gold chain,Evening (6-9PM),Unsolved,SERIAL-1
C-5006,FIR/2025/655,Belagavi City,Shahapur PS,2025-06-19,Chain Snatching,No forced entry - distraction,None - snatch and run,Pedestrian - gold chain,Evening (6-9PM),Unsolved,SERIAL-1
C-5007,FIR/2025/311,Belagavi City,Shahapur PS,2025-02-01,Burglary,Rear grill cut,None,Residential house,Late night (12-4AM),Unsolved,SERIAL-2
C-5008,FIR/2025/888,Ballari,Gandhinagar PS,2025-07-19,Burglary,Rear grill cut,None,Residential house,Late night (12-4AM),Unsolved,SERIAL-2
C-5009,FIR/2025/489,Hubballi Dharwad,Vidyanagar PS,2025-10-22,Burglary,Rear grill cut,None,Residential house,Late night (12-4AM),Unsolved,SERIAL-2
C-5010,FIR/2025/405,Belagavi City,Camp PS,2025-06-30,Burglary,Rear grill cut,None,Residential house,Late night (12-4AM),Unsolved,SERIAL-2
C-5011,FIR/2025/651,Ballari,Gandhinagar PS,2025-08-03,Burglary,Rear grill cut,None,Residential house,Late night (12-4AM),Unsolved,SERIAL-2
C-5012,FIR/2025/324,Tumakuru,Town PS,2025-09-07,Vehicle Theft,No forced entry - distraction,None,Two-wheeler parked,Night (9PM-12AM),Unsolved,SERIAL-3
C-5013,FIR/2025/129,Mangaluru City,Kadri PS,2025-09-06,Vehicle Theft,No forced entry - distraction,None,Two-wheeler parked,Night (9PM-12AM),Unsolved,SERIAL-3
C-5014,FIR/2025/841,Belagavi City,Shahapur PS,2025-07-27,Vehicle Theft,No forced entry - distraction,None,Two-wheeler parked,Night (9PM-12AM),Unsolved,SERIAL-3
C-5015,FIR/2025/737,Mysuru City,Devaraja PS,2025-03-07,Vehicle Theft,No forced entry - distraction,None,Two-wheeler parked,Night (9PM-12AM),Unsolved,SERIAL-3
C-5016,FIR/2025/238,Hubballi Dharwad,Vidyanagar PS,2025-08-08,Assault,Rear grill cut,None - snatch and run,ATM area,Late night (12-4AM),Solved,
C-5017,FIR/2025/434,Ballari,Gandhinagar PS,2025-08-21,Chain Snatching,Window forced,Blunt object,Pedestrian - gold chain,Daytime (10AM-4PM),Solved,
C-5018,FIR/2025/153,Mangaluru City,Kadri PS,2025-10-04,Robbery,Wall scaled,Blunt object,Residential house,Evening (6-9PM),Solved,
C-5019,FIR/2025/736,Mangaluru City,Bunder PS,2025-01-11,Burglary,No forced entry - distraction,None,Residential house,Early morning (4-7AM),Solved,
C-5020,FIR/2025/885,Mysuru City,Vijayanagar PS,2025-05-12,Chain Snatching,Wall scaled,None,Retail shop,Early morning (4-7AM),Unsolved,
C-5021,FIR/2025/689,Mangaluru City,Bunder PS,2025-06-09,Burglary,Door lock broken,Blunt object,Residential house,Night (9PM-12AM),Solved,
C-5022,FIR/2025/204,Tumakuru,Bugudanahalli PS,2025-05-05,Assault,No forced entry - distraction,Knife,Residential house,Night (9PM-12AM),Under Investigation,
C-5023,FIR/2025/170,Tumakuru,Bugudanahalli PS,2025-07-09,Burglary,Rear grill cut,None,Two-wheeler parked,Night (9PM-12AM),Unsolved,
C-5024,FIR/2025/824,Hubballi Dharwad,Gokul Road PS,2025-08-24,Theft,Wall scaled,Firearm (threat only),Residential house,Evening (6-9PM),Unsolved,
C-5025,FIR/2025/893,Mysuru City,Devaraja PS,2025-10-03,Chain Snatching,No forced entry - distraction,None - snatch and run,ATM area,Daytime (10AM-4PM),Under Investigation,
C-5026,FIR/2025/385,Belagavi City,Shahapur PS,2025-02-14,Assault,No forced entry - distraction,None - snatch and run,Two-wheeler parked,Daytime (10AM-4PM),Solved,
C-5027,FIR/2025/606,Belagavi City,Camp PS,2025-01-15,House Break-in,Rear grill cut,None - snatch and run,ATM area,Evening (6-9PM),Unsolved,
C-5028,FIR/2025/710,Ballari,Gandhinagar PS,2025-05-24,Chain Snatching,Wall scaled,Knife,Two-wheeler parked,Daytime (10AM-4PM),Unsolved,
C-5029,FIR/2025/600,Tumakuru,Bugudanahalli PS,2025-07-28,Theft,Rear grill cut,Knife,Residential house,Early morning (4-7AM),Under Investigation,
C-5030,FIR/2025/326,Hubballi Dharwad,Vidyanagar PS,2025-05-31,House Break-in,No forced entry - distraction,Firearm (threat only),Pedestrian - gold chain,Late night (12-4AM),Solved,
C-5031,FIR/2025/452,Belagavi City,Camp PS,2025-09-29,Robbery,No forced entry - distraction,None - snatch and run,Two-wheeler parked,Evening (6-9PM),Under Investigation,
C-5032,FIR/2025/223,Belagavi City,Shahapur PS,2025-04-29,Cheating/Fraud,No forced entry - distraction,Firearm (threat only),Two-wheeler parked,Daytime (10AM-4PM),Unsolved,
C-5033,FIR/2025/856,Tumakuru,Town PS,2025-04-21,Cheating/Fraud,Window forced,None - snatch and run,ATM area,Early morning (4-7AM),Solved,
C-5034,FIR/2025/409,Belagavi City,Shahapur PS,2025-04-02,Robbery,Window forced,Knife,Two-wheeler parked,Early morning (4-7AM),Unsolved,
C-5035,FIR/2025/753,Bengaluru City,RT Nagar PS,2025-03-06,Chain Snatching,Unlocked entry,None,Residential house,Night (9PM-12AM),Unsolved,
C-5036,FIR/2025/448,Ballari,Gandhinagar PS,2025-08-14,Burglary,Window forced,None - snatch and run,Two-wheeler parked,Evening (6-9PM),Unsolved,
C-5037,FIR/2025/690,Mysuru City,Vijayanagar PS,2025-02-07,Robbery,Wall scaled,None,Residential house,Evening (6-9PM),Unsolved,
C-5038,FIR/2025/671,Tumakuru,Town PS,2025-03-02,Chain Snatching,Door lock broken,None - snatch and run,Two-wheeler parked,Late night (12-4AM),Solved,
